Accession,Gene Name,Description,Unique peptides,Average(ADCY7),Average(NC),log2FoldChange,FoldChange,Regulation,p-value,q-value
Q8WUZ0,BCL7C,B-cell CLL/lymphoma 7 protein family member C,2,14.27917,13.654255,0.624915000000001,1.54211996486234,Up,0.152683111875562,0.448481193949149
A6NFI3,ZNF316,Zinc finger protein 316,9,12.25162,12.025705,0.225914999999999,1.16951875688859,Up,0.152828683687233,0.448709360501519
Q9BXF6,RAB11FIP5,Rab11 family-interacting protein 5,4,11.33729,10.92433,0.412959999999998,1.33141469807085,Up,0.153106987105354,0.44930789569557
Q9BUA3,SPINDOC,Spindlin interactor and repressor of chromatin-binding protein,7,13.93555,13.68089,0.254659999999999,1.19305454268432,Up,0.15316851097021,0.44930789569557
O43516,WIPF1,WAS/WASL-interacting protein family member 1,3,11.386595,10.947575,0.439019999999999,1.35568312042839,Up,0.153408129617646,0.449782601352556
Q92597,NDRG1,Protein NDRG1,5,11.40482,11.920505,-0.515685,0.699460745909607,Down,0.153466449697384,0.449782601352556
P35613,BSG,Basigin,5,16.24968,16.030505,0.219175,1.16406772813466,Up,0.153629146306166,0.450059852809153
Q86U42,PABPN1,Polyadenylate-binding protein 2,3,16.96216,16.736145,0.226014999999997,1.16959982456104,Up,0.153728443532842,0.450151211036134
P63279,UBE2I,SUMO-conjugating enzyme UBC9,5,17.34182,17.53047,-0.18865,0.877426387883645,Down,0.154001633695957,0.450751460184492
Q9UPY8,MAPRE3,Microtubule-associated protein RP/EB family member 3,4,10.78138,11.66928,-0.8879,0.540400157406069,Down,0.154316758419014,0.451411927710475
Q92797,SYMPK,Symplekin,57,16.31271,16.181975,0.130734999999998,1.09485134564471,Up,0.154363891152319,0.451411927710475
P10155,RO60,RNA-binding protein RO60,14,16.3851,16.80138,-0.41628,0.749354351164092,Down,0.154489304122085,0.451548160756009
P09234,SNRPC,U1 small nuclear ribonucleoprotein C,2,17.061335,16.848775,0.21256,1.15874249920597,Up,0.154547123563337,0.451548160756009
Q9HD34,LYRM4,LYR motif-containing protein 4,3,15.440055,14.970895,0.469160000000002,1.38430323167974,Up,0.154843689794712,0.452214735242266
Q8IYI6,EXOC8,Exocyst complex component 8,10,13.737645,13.923475,-0.18583,0.879143148659652,Down,0.155076254466277,0.452601587354675
Q92905,COPS5,COP9 signalosome complex subunit 5,8,13.976065,13.714245,0.26182,1.19899031064298,Up,0.155113117772483,0.452601587354675
Q13129,RLF,Zinc finger protein Rlf,21,13.65103,13.34189,0.309140000000001,1.23896892224462,Up,0.155394593755174,0.453211242279362
Q6RFH5,WDR74,WD repeat-containing protein 74,13,14.285735,13.972805,0.312929999999998,1.24222800704333,Up,0.155459205060873,0.453211242279362
P0C7P0,CISD3,"CDGSH iron-sulfur domain-containing protein 3, mitochondrial",3,10.044906,10.1994045,-0.1544985,0.898444629921042,Down,0.155802231288097,0.454010999375235
Q9HAV7,GRPEL1,"GrpE protein homolog 1, mitochondrial",5,13.41446,13.686025,-0.271565,0.828420408193501,Down,0.156026720623312,0.454464784750757
Q7LBR1,CHMP1B,Charged multivesicular body protein 1b,2,14.468225,14.781245,-0.31302,0.804954978498296,Down,0.156213854294383,0.45451508901058
Q12768,WASHC5,WASH complex subunit 5,20,14.19744,14.56601,-0.36857,0.774549850582183,Down,0.156226218409597,0.45451508901058
Q96BA8,CREB3L1,Cyclic AMP-responsive element-binding protein 3-like protein 1,1,9.576266,7.8189595,1.7573065,3.38066368204624,Up,0.156251659461176,0.45451508901058
Q8WVZ9,KBTBD7,Kelch repeat and BTB domain-containing protein 7,3,11.63629,12.05304,-0.41675,0.749110266882836,Down,0.156319079637017,0.45451508901058
O60825,PFKFB2,"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2",18,13.9824,14.129505,-0.147105,0.903060782586301,Down,0.156549818082985,0.454985816935114
O15160,POLR1C,DNA-directed RNA polymerases I and III subunit RPAC1,12,16.324875,16.158955,0.16592,1.12188126849856,Up,0.156736521555916,0.455141529408418
Q9P2D1,CHD7,Chromodomain-helicase-DNA-binding protein 7,72,15.86168,15.77953,0.0821499999999986,1.05859445341764,Up,0.156741128905063,0.455141529408418
Q9BWH2,FUNDC2,FUN14 domain-containing protein 2,5,14.35422,14.190775,0.163444999999999,1.11995828707076,Up,0.15686466815279,0.455300215995515
Q96QU8,XPO6,Exportin-6,3,12.14691,13.387205,-1.240295,0.423286094460494,Down,0.15711865062331,0.455595083061529
Q8NHU6,TDRD7,Tudor domain-containing protein 7,14,12.1628,12.43054,-0.26774,0.830619703446458,Down,0.157156318555713,0.455595083061529
O43709,BUD23,18S rRNA (guanine-N(7))-methyltransferase,8,15.33048,14.79851,0.531970000000001,1.44590222754157,Up,0.157207261345335,0.455595083061529
P82675,MRPS5,Small ribosomal subunit protein uS5m,12,13.566735,13.407265,0.159470000000001,1.1168767579094,Up,0.157280725579028,0.455595083061529
Q15652,JMJD1C,Probable JmjC domain-containing histone demethylation protein 2C,58,13.928225,13.842025,0.0862000000000016,1.06157036365048,Up,0.157406578335001,0.455595083061529
P13010,XRCC5,X-ray repair cross-complementing protein 5,26,18.3751,18.2631,0.111999999999998,1.08072540203935,Up,0.157522279901514,0.455595083061529
P22033,MMUT,"Methylmalonyl-CoA mutase, mitochondrial",12,13.68659,13.51096,0.175629999999998,1.12945751171524,Up,0.15754084833844,0.455595083061529
Q969E2,SCAMP4,Secretory carrier-associated membrane protein 4,1,9.5905985,11.014199,-1.4236005,0.372780809999538,Down,0.157544680542452,0.455595083061529
Q06547,GABPB1,GA-binding protein subunit beta-1,3,14.36072,13.779805,0.580915000000001,1.49579762709401,Up,0.157586678753012,0.455595083061529
P13196,ALAS1,"5-aminolevulinate synthase, non-specific, mitochondrial",1,9.6315865,7.8344385,1.797148,3.47532524127633,Up,0.157672770343906,0.455644660779569
P56557,TMEM50B,Transmembrane protein 50B,1,11.428015,10.64689,0.781125000000001,1.71847039755808,Up,0.157766535112946,0.455716359511128
Q9BUJ2,HNRNPUL1,Heterogeneous nuclear ribonucleoprotein U-like protein 1,20,17.626285,17.441565,0.184720000000006,1.13659635983082,Up,0.157925075423784,0.455975021177714
O95625,ZBTB11,Zinc finger and BTB domain-containing protein 11,23,13.01805,13.358745,-0.340695,0.789660811160474,Down,0.158364726941651,0.456999021901569
O95059,RPP14,Ribonuclease P protein subunit p14,6,14.85362,14.49472,0.358899999999998,1.28244770718015,Up,0.158418029834543,0.456999021901569
Q13451,FKBP5,Peptidyl-prolyl cis-trans isomerase FKBP5,14,12.79998,12.96035,-0.16037,0.89479555824151,Down,0.158630515862044,0.457286156144662
Q96AA3,RFT1,Man(5)GlcNAc(2)-PP-dolichol translocation protein RFT1,2,11.58801,11.265855,0.322155,1.25019661376002,Up,0.158675207202064,0.457286156144662
Q6IN84,MRM1,"rRNA methyltransferase 1, mitochondrial",4,12.467385,11.98393,0.483454999999999,1.39808783401877,Up,0.158725138779824,0.457286156144662
Q9UMS4,PRPF19,Pre-mRNA-processing factor 19,15,18.743105,18.42257,0.320535,1.24879355783418,Up,0.158843220584125,0.457406683232021
P00533,EGFR,Epidermal growth factor receptor,17,13.18567,13.019585,0.166085000000001,1.12200958459443,Up,0.158905393357652,0.457406683232021
P40261,NNMT,Nicotinamide N-methyltransferase,5,12.481345,13.06618,-0.584835,0.666725587113821,Down,0.159017698183199,0.457471128429681
Q9NV06,DCAF13,DDB1- and CUL4-associated factor 13,12,14.773535,14.92459,-0.151055,0.900591645852665,Down,0.159066220779453,0.457471128429681
Q15058,KIF14,Kinesin-like protein KIF14,33,14.494985,14.56982,-0.074835,0.949450702739008,Down,0.159173310960649,0.457579996580657
Q68D10,SPTY2D1,Protein SPT2 homolog,14,15.774835,15.34985,0.424985,1.34255854384766,Up,0.159382282742906,0.457981524629507
Q9BRP1,PDCD2L,Programmed cell death protein 2-like,5,13.09187,12.57205,0.519819999999999,1.43377634960962,Up,0.159662676966265,0.458281768136433
Q9NP92,MRPS30,Large ribosomal subunit protein mL65,12,13.09582,12.68918,0.406639999999999,1.32559493936288,Up,0.159692668464907,0.458281768136433
Q10589,BST2,Bone marrow stromal antigen 2,2,13.204075,13.48339,-0.279315,0.823982155924894,Down,0.159731174643996,0.458281768136433
Q969R5,L3MBTL2,Lethal(3)malignant brain tumor-like protein 2,19,15.09597,14.80339,0.292580000000001,1.22482870563948,Up,0.15976413886917,0.458281768136433
P62310,LSM3,U6 snRNA-associated Sm-like protein LSm3,4,15.62382,15.235205,0.388615,1.30913601824735,Up,0.159874771174934,0.458400157351471
Q96B26,EXOSC8,Exosome complex component RRP43,11,15.551435,15.33345,0.217985000000001,1.16310794841006,Up,0.160164211698455,0.458874153995791
Q53GS9,USP39,Ubiquitin carboxyl-terminal hydrolase 39,22,16.33712,16.11349,0.22363,1.16766789089736,Up,0.160178948898213,0.458874153995791
Q8N766,EMC1,ER membrane protein complex subunit 1,24,15.25852,15.09013,0.16839,1.12380365689445,Up,0.160289256446106,0.458944990254309
Q9BTU6,PI4K2A,Phosphatidylinositol 4-kinase type 2-alpha,10,12.71681,12.38565,0.331160000000001,1.25802448347952,Up,0.160342560523105,0.458944990254309
P40425,PBX2,Pre-B-cell leukemia transcription factor 2,9,14.558565,14.312475,0.246090000000001,1.18598848291484,Up,0.160467834839029,0.459104727468028
Q9NP50,SINHCAF,SIN3-HDAC complex-associated factor,6,13.83761,13.48869,0.34892,1.2736068496086,Up,0.160596127775841,0.459191330835522
Q13415,ORC1,Origin recognition complex subunit 1,21,13.06127,13.36545,-0.30418,0.809902418643997,Down,0.160680297675837,0.459191330835522
P52741,ZNF134,Zinc finger protein 134,1,11.406585,11.078055,0.328530000000001,1.25573322276635,Up,0.16087516298418,0.459191330835522
P26368,U2AF2,Splicing factor U2AF 65 kDa subunit,12,19.186995,19.018895,0.168099999999999,1.12357778080967,Up,0.161005905228991,0.459191330835522
O75427,LRCH4,Leucine-rich repeat and calponin homology domain-containing protein 4,3,12.06338,11.70907,0.354309999999998,1.27837402511179,Up,0.16100835532628,0.459191330835522
Q13405,MRPL49,Large ribosomal subunit protein mL49,8,14.931715,14.526955,0.40476,1.32386865947705,Up,0.161206825599047,0.459191330835522
O00625,PIR,Pirin,4,11.41819,11.94057,-0.52238,0.696222334053144,Down,0.161236739871821,0.459191330835522
O75127,PTCD1,"Pentatricopeptide repeat-containing protein 1, mitochondrial",16,12.930505,12.56934,0.361165,1.28446270366991,Up,0.161238090442965,0.459191330835522
O60502,OGA,Protein O-GlcNAcase,8,12.566085,12.999665,-0.43358,0.740422170673782,Down,0.161249443712658,0.459191330835522
Q8WWY3,PRPF31,U4/U6 small nuclear ribonucleoprotein Prp31,15,16.06977,15.941815,0.127954999999998,1.09274365412114,Up,0.161331102798126,0.459191330835522
