Accession,Gene Name,Description,Unique peptides,Average(ADCY7),Average(NC),log2FoldChange,FoldChange,Regulation,p-value,q-value
Q8TAF3,WDR48,WD repeat-containing protein 48,23,14.18684,14.1266,0.0602400000000003,1.04263919499528,Up,0.15121677970242,0.446755340658602
P28066,PSMA5,Proteasome subunit alpha type-5,7,14.427105,14.351495,0.0756100000000011,1.05380651200788,Up,0.151605794347404,0.447704510653259
P08237,PFKM,"ATP-dependent 6-phosphofructokinase, muscle type",18,14.902925,15.01519,-0.112265,0.9251344800255,Down,0.151790466030441,0.44793673408775
Q14541,HNF4G,Hepatocyte nuclear factor 4-gamma,4,11.53435,10.8395,0.694849999999999,1.61871612306767,Up,0.151845651292807,0.44793673408775
P55055,NR1H2,Oxysterols receptor LXR-beta,8,14.391165,13.96532,0.425845000000001,1.34335909040517,Up,0.151963029467323,0.44793673408775
Q9UHQ4,BCAP29,B-cell receptor-associated protein 29,2,12.25569,11.719285,0.536405000000002,1.45035392577314,Up,0.151986212750155,0.44793673408775
P30566,ADSL,Adenylosuccinate lyase,5,12.337965,13.02746,-0.689495,0.620070861172481,Down,0.152045247818964,0.44793673408775
P49759,CLK1,Dual specificity protein kinase CLK1,9,13.384185,13.10522,0.278965000000001,1.21332412446478,Up,0.152122165115062,0.44793673408775
O75648,TRMU,Mitochondrial tRNA-specific 2-thiouridylase 1,4,11.20515,10.68065,0.5245,1.43843497004134,Up,0.152158869424572,0.44793673408775
Q9C0C2,TNKS1BP1,182 kDa tankyrase-1-binding protein,49,13.545105,13.63478,-0.089675,0.939734422007206,Down,0.152294732799758,0.448137083291898
P59923,ZNF445,Zinc finger protein 445,7,13.164075,13.910785,-0.74671,0.59596107098106,Down,0.152375420386305,0.448174968105514
Q9P209,CEP72,Centrosomal protein of 72 kDa,6,12.028965,12.36694,-0.337975,0.791151010668977,Down,0.152501672895991,0.448346777655518
Q99611,SEPHS2,"Selenide, water dikinase 2",1,8.369479,10.319923,-1.950444,0.25873659061902,Down,0.152575365240517,0.448363979046055
